,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
333,140,340,0.17647058823529413,0.17647058823529413,0.08235294117647059,0.24705882352941178,0.16470588235294117,0.2235294117647059,0.1411764705882353,0.08235294117647059,0.058823529411764705,0.11764705882352941
334,150,340,0.23529411764705882,0.16470588235294117,0.10588235294117647,0.2,0.1411764705882353,0.09411764705882353,0.17647058823529413,0.15294117647058825,0.15294117647058825,0.15294117647058825
335,160,340,0.17647058823529413,0.12941176470588237,0.15294117647058825,0.12941176470588237,0.18823529411764706,0.10588235294117647,0.09411764705882353,0.12941176470588237,0.1411764705882353,0.18823529411764706
336,170,340,0.15294117647058825,0.15294117647058825,0.18823529411764706,0.17647058823529413,0.18823529411764706,0.2,0.15294117647058825,0.21176470588235294,0.16470588235294117,0.11764705882352941
337,180,340,0.16470588235294117,0.15294117647058825,0.15294117647058825,0.10588235294117647,0.12941176470588237,0.07058823529411765,0.1411764705882353,0.12941176470588237,0.18823529411764706,0.21176470588235294
338,190,340,0.1411764705882353,0.12941176470588237,0.16470588235294117,0.10588235294117647,0.07058823529411765,0.08235294117647059,0.10588235294117647,0.16470588235294117,0.18823529411764706,0.1411764705882353
339,200,340,0.09411764705882353,0.12941176470588237,0.11764705882352941,0.08235294117647059,0.11764705882352941,0.12941176470588237,0.1411764705882353,0.16470588235294117,0.09411764705882353,0.058823529411764705
340,10,360,0.23333333333333334,0.35555555555555557,0.5,0.3888888888888889,0.26666666666666666,0.3111111111111111,0.4222222222222222,0.4111111111111111,0.28888888888888886,0.5222222222222223
341,20,360,0.3111111111111111,0.2777777777777778,0.3,0.3333333333333333,0.4,0.2,0.36666666666666664,0.2777777777777778,0.4111111111111111,0.4222222222222222
342,30,360,0.24444444444444444,0.2777777777777778,0.32222222222222224,0.2777777777777778,0.32222222222222224,0.17777777777777778,0.2222222222222222,0.1,0.24444444444444444,0.4111111111111111
343,40,360,0.18888888888888888,0.3111111111111111,0.36666666666666664,0.3333333333333333,0.17777777777777778,0.13333333333333333,0.18888888888888888,0.14444444444444443,0.37777777777777777,0.2777777777777778
344,50,360,0.26666666666666666,0.3111111111111111,0.2777777777777778,0.4111111111111111,0.26666666666666666,0.1111111111111111,0.2111111111111111,0.23333333333333334,0.2777777777777778,0.26666666666666666
345,60,360,0.14444444444444443,0.24444444444444444,0.18888888888888888,0.2,0.25555555555555554,0.28888888888888886,0.3333333333333333,0.18888888888888888,0.16666666666666666,0.3333333333333333
346,70,360,0.3,0.2,0.26666666666666666,0.2,0.28888888888888886,0.2777777777777778,0.17777777777777778,0.2,0.13333333333333333,0.2111111111111111
347,80,360,0.13333333333333333,0.08888888888888889,0.15555555555555556,0.2222222222222222,0.3111111111111111,0.1,0.24444444444444444,0.26666666666666666,0.23333333333333334,0.15555555555555556
348,90,360,0.23333333333333334,0.18888888888888888,0.08888888888888889,0.17777777777777778,0.1111111111111111,0.13333333333333333,0.2222222222222222,0.16666666666666666,0.12222222222222222,0.2
349,100,360,0.12222222222222222,0.13333333333333333,0.12222222222222222,0.1,0.23333333333333334,0.2,0.17777777777777778,0.1111111111111111,0.2,0.17777777777777778
350,110,360,0.1111111111111111,0.2111111111111111,0.2,0.2,0.15555555555555556,0.08888888888888889,0.08888888888888889,0.17777777777777778,0.17777777777777778,0.1
351,120,360,0.17777777777777778,0.16666666666666666,0.26666666666666666,0.2,0.18888888888888888,0.12222222222222222,0.13333333333333333,0.17777777777777778,0.2,0.24444444444444444
352,130,360,0.1111111111111111,0.14444444444444443,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.12222222222222222,0.2222222222222222,0.05555555555555555,0.13333333333333333
353,140,360,0.1111111111111111,0.13333333333333333,0.2,0.14444444444444443,0.14444444444444443,0.14444444444444443,0.07777777777777778,0.08888888888888889,0.18888888888888888,0.08888888888888889
354,150,360,0.13333333333333333,0.14444444444444443,0.13333333333333333,0.14444444444444443,0.15555555555555556,0.1,0.15555555555555556,0.08888888888888889,0.1,0.17777777777777778
355,160,360,0.18888888888888888,0.13333333333333333,0.1,0.15555555555555556,0.13333333333333333,0.14444444444444443,0.13333333333333333,0.16666666666666666,0.2,0.1
356,170,360,0.05555555555555555,0.14444444444444443,0.08888888888888889,0.07777777777777778,0.16666666666666666,0.08888888888888889,0.1,0.14444444444444443,0.044444444444444446,0.06666666666666667
357,180,360,0.16666666666666666,0.044444444444444446,0.24444444444444444,0.1111111111111111,0.14444444444444443,0.17777777777777778,0.15555555555555556,0.13333333333333333,0.14444444444444443,0.15555555555555556
358,190,360,0.14444444444444443,0.13333333333333333,0.1,0.13333333333333333,0.15555555555555556,0.1,0.13333333333333333,0.13333333333333333,0.1111111111111111,0.1
359,200,360,0.17777777777777778,0.1111111111111111,0.14444444444444443,0.1,0.07777777777777778,0.17777777777777778,0.1111111111111111,0.1111111111111111,0.1,0.18888888888888888
