,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
24,50,200,0.16,0.02,0.18,0.08,0.14,0.0,0.08,0.08,0.02,0.08
25,60,200,0.06,0.06,0.12,0.1,0.06,0.16,0.1,0.16,0.1,0.08
26,70,200,0.1,0.08,0.08,0.04,0.1,0.08,0.1,0.06,0.06,0.12
27,80,200,0.08,0.1,0.1,0.08,0.1,0.14,0.08,0.08,0.12,0.14
28,90,200,0.06,0.12,0.16,0.1,0.14,0.1,0.06,0.08,0.1,0.1
29,100,200,0.06,0.1,0.06,0.18,0.08,0.12,0.14,0.04,0.18,0.1
30,110,200,0.1,0.12,0.1,0.14,0.14,0.12,0.04,0.1,0.08,0.1
31,120,200,0.08,0.14,0.06,0.08,0.1,0.1,0.12,0.12,0.06,0.08
32,130,200,0.1,0.16,0.06,0.06,0.04,0.1,0.04,0.06,0.08,0.1
33,140,200,0.06,0.1,0.12,0.12,0.08,0.06,0.1,0.1,0.12,0.08
34,150,200,0.14,0.08,0.06,0.1,0.1,0.04,0.06,0.12,0.04,0.14
35,160,200,0.1,0.14,0.06,0.1,0.08,0.08,0.02,0.12,0.12,0.1
36,170,200,0.1,0.12,0.16,0.08,0.04,0.02,0.14,0.12,0.12,0.06
37,180,200,0.1,0.12,0.08,0.02,0.04,0.02,0.06,0.12,0.02,0.08
38,190,200,0.12,0.08,0.08,0.1,0.12,0.08,0.02,0.04,0.08,0.1
39,200,200,0.06,0.14,0.16,0.12,0.08,0.1,0.06,0.06,0.14,0.08
40,10,300,0.09333333333333334,0.13333333333333333,0.08,0.13333333333333333,0.09333333333333334,0.14666666666666667,0.09333333333333334,0.12,0.06666666666666667,0.13333333333333333
41,20,300,0.08,0.17333333333333334,0.09333333333333334,0.05333333333333334,0.08,0.06666666666666667,0.13333333333333333,0.16,0.08,0.10666666666666667
42,30,300,0.06666666666666667,0.08,0.09333333333333334,0.10666666666666667,0.12,0.06666666666666667,0.08,0.10666666666666667,0.10666666666666667,0.08
